MatchId,iId,iStartFrame,iEndFrame
858500,1,1867081,1937642
858500,2,1961918,2035640
858500,3,0,0
858500,4,0,0
858501,1,1779755,1856424
858501,2,1879976,1956584
858501,3,0,0
858501,4,0,0
858503,1,1775412,1845916
858503,2,1871593,1947145
858503,3,0,0
858503,4,0,0
858508,1,1801696,1870940
858508,2,1894465,1969572
858508,3,0,0
858508,4,0,0
858511,1,1777846,1846828
858511,2,1870986,1945011
858511,3,0,0
858511,4,0,0
858512,1,1352154,1422363
858512,2,1447439,1519714
858512,3,0,0
858512,4,0,0
858515,1,1779617,1848771
858515,2,1872896,1948906
858515,3,0,0
858515,4,0,0
858521,1,1794367,1864861
858521,2,1887940,1964419
858521,3,0,0
858521,4,0,0
858524,1,1441113,1512094
858524,2,1535128,1610845
858524,3,0,0
858524,4,0,0
858526,1,1352870,1423531
858526,2,1447485,1522771
858526,3,0,0
858526,4,0,0
858527,1,1576159,1646791
858527,2,1671714,1745180
858527,3,0,0
858527,4,0,0
858535,1,1778160,1848643
858535,2,1872225,1950626
